,0
CXCL10 204533_at,0.10393226617807218
SERPINB4 211906_s_at,0.10333432266295259
CXCL11 210163_at,0.10151661656755077
CCL20 205476_at,0.1012962684092504
CARD14 224113_at,0.1003737314657273
CHRM3 1564339_a_at,0.0983193640951071
IL17C 224079_at,0.09788957678901106
LYZ 1555745_a_at,0.09779682405446434
IL19 220745_at,0.09771207715516445
CRAT 209522_s_at,0.09732872750263144
S100A12 205863_at,0.09689582030135446
FADS1 /// MIR1908 208962_s_at,0.09504693800225258
THRSP 229477_at,0.09378673764864841
IFNLR1 1555499_a_at,0.0933903744153243
LEP 207092_at,0.0911521494977309
IL1B 205067_at,0.09050324681574
CXCL11 211122_s_at,0.08936394729895283
CIITA 211884_s_at,0.08884713282411977
CXCL8 202859_x_at,0.08514396266588886
IL1B 39402_at,0.08352788898085892
CRAT 205843_x_at,0.08237427904340236
CXCL8 211506_s_at,0.07922971067324094
THRSP 1553583_a_at,0.07542431672655722
IL13 207844_at,0.0747477065026553
NOS2 210037_s_at,0.07152068038163044
CXCL1 204470_at,0.07109490427580054
IL17A 208402_at,0.06786253080158954
HSD3B1 204515_at,0.06726459130058407
ELOVL3 234513_at,0.06362355915015958
SOCS3 206360_s_at,0.057223386256102626
IL17RC 221926_s_at,0.0483770133882419
CXCL2 230101_at,0.046353641469268056
CARD14 1555309_a_at,0.044639664632500756
IL4 207538_at,0.04452245166079071
CXCL6 206336_at,0.04347801183847639
MTHFR 217071_s_at,0.04284192913558232
